Name,Field,Type,Pos,Setpoint,Readback,Last Setpoint,Tolerance,Writable
LS1_CA01:CAV1_D1127,PHA,CAV,112.5901,130.4,178.977,130.4,0.01,True
LS1_CA01:CAV1_D1127,PHA_CREST,CAV,112.5901,0,0,0,0.01,True
LS1_CA01:CAV1_D1127,AMP,CAV,112.5901,1.738,0,2,0.01,True
LS1_CA01:CAV1_D1127,AMP_COEF,CAV,112.5901,1,1,1,0.01,True
LS1_CA01:SOL1_D1132,I,SOL,113.0009,30.406,0.005,0,0.01,True
LS1_CA01:DCH_D1132,I,HCOR,113.1574,0.2818,0.002,0,0.01,True
LS1_CA01:DCV_D1132,I,VCOR,113.1574,-0.45122,-0.001,0,0.01,True
LS1_CA01:CAV2_D1136,PHA,CAV,113.4318,-47.4,-33.408,-47.4,0.01,True
LS1_CA01:CAV2_D1136,PHA_CREST,CAV,113.4318,0,0,0,0.01,True
LS1_CA01:CAV2_D1136,AMP,CAV,113.4318,1.95859014617097,0,2,0.01,True
LS1_CA01:CAV2_D1136,AMP_COEF,CAV,113.4318,1,1,1,0.01,True
LS1_CA01:CAV3_D1142,PHA,CAV,114.0653,46.3,165.71,46.3,0.01,True
LS1_CA01:CAV3_D1142,PHA_CREST,CAV,114.0653,0,0,0,0.01,True
LS1_CA01:CAV3_D1142,AMP,CAV,114.0653,2.3137984381914,0,2,0.01,True
LS1_CA01:CAV3_D1142,AMP_COEF,CAV,114.0653,1,1,1,0.01,True
LS1_CA01:SOL2_D1146,I,SOL,114.4761,34.71,0.003,0,0.01,True
LS1_CA01:DCH_D1146,I,HCOR,114.6326,0.21449,0,0,0.01,True
LS1_CA01:DCV_D1146,I,VCOR,114.6326,-0.14999,0.001,0,0.01,True
LS1_CA01:CAV4_D1150,PHA,CAV,114.907,-59.1,-97.259,-59.1,0.01,True
LS1_CA01:CAV4_D1150,PHA_CREST,CAV,114.907,0,0,0,0.01,True
LS1_CA01:CAV4_D1150,AMP,CAV,114.907,2.17121520114167,0,2,0.01,True
LS1_CA01:CAV4_D1150,AMP_COEF,CAV,114.907,1,1,1,0.01,True
LS1_CA02:CAV1_D1161,PHA,CAV,115.9632,77.4,68.208,77.4,0.01,True
LS1_CA02:CAV1_D1161,PHA_CREST,CAV,115.9632,0,0,0,0.01,True
LS1_CA02:CAV1_D1161,AMP,CAV,115.9632,2.4925843805725,0,2,0.01,True
LS1_CA02:CAV1_D1161,AMP_COEF,CAV,115.9632,1,1,1,0.01,True
LS1_CA02:SOL1_D1165,I,SOL,116.374,36.393,0.004,0,0.01,True
LS1_CA02:DCH_D1165,I,HCOR,116.5305,-0.22883,0.001,0,0.01,True
LS1_CA02:DCV_D1165,I,VCOR,116.5305,0.08098,0,0,0.01,True
LS1_CA02:CAV2_D1169,PHA,CAV,116.8049,18.8,-33.799,18.8,0.01,True
LS1_CA02:CAV2_D1169,PHA_CREST,CAV,116.8049,0,0,0,0.01,True
LS1_CA02:CAV2_D1169,AMP,CAV,116.8049,2.95105612508022,0,2,0.01,True
LS1_CA02:CAV2_D1169,AMP_COEF,CAV,116.8049,1,1,1,0.01,True
LS1_CA02:CAV3_D1176,PHA,CAV,117.4384,60.4,80.135,60.4,0.01,True
LS1_CA02:CAV3_D1176,PHA_CREST,CAV,117.4384,0,0,0,0.01,True
LS1_CA02:CAV3_D1176,AMP,CAV,117.4384,3.19289910631796,0,2,0.01,True
LS1_CA02:CAV3_D1176,AMP_COEF,CAV,117.4384,1,1,1,0.01,True
LS1_CA02:SOL2_D1180,I,SOL,117.8492,38.854,0.003,0,0.01,True
LS1_CA02:DCH_D1180,I,HCOR,118.0057,0.31108,-0.001,0,0.01,True
LS1_CA02:DCV_D1180,I,VCOR,118.0057,-0.90496,0.001,0,0.01,True
LS1_CA02:CAV4_D1184,PHA,CAV,118.2801,75.5,110.898,75.5,0.01,True
LS1_CA02:CAV4_D1184,PHA_CREST,CAV,118.2801,0,0,0,0.01,True
LS1_CA02:CAV4_D1184,AMP,CAV,118.2801,2.8372728303022,0,2,0.01,True
LS1_CA02:CAV4_D1184,AMP_COEF,CAV,118.2801,1,1,1,0.01,True
LS1_CA03:CAV1_D1195,PHA,CAV,119.3363,176.9,112.898,176.9,0.01,True
LS1_CA03:CAV1_D1195,PHA_CREST,CAV,119.3363,0,0,0,0.01,True
LS1_CA03:CAV1_D1195,AMP,CAV,119.3363,3.07340734690136,0,2,0.01,True
LS1_CA03:CAV1_D1195,AMP_COEF,CAV,119.3363,1,1,1,0.01,True
LS1_CA03:SOL1_D1199,I,SOL,119.7471,38.705,0.009,0,0.01,True
LS1_CA03:DCH_D1199,I,HCOR,119.9035,0.40546,0,0,0.01,True
LS1_CA03:DCV_D1199,I,VCOR,119.9035,-0.13953,0,0,0.01,True
LS1_CA03:CAV2_D1203,PHA,CAV,120.178,-53.5,58.287,-53.5,0.01,True
LS1_CA03:CAV2_D1203,PHA_CREST,CAV,120.178,0,0,0,0.01,True
LS1_CA03:CAV2_D1203,AMP,CAV,120.178,2.77857010520499,0,2,0.01,True
LS1_CA03:CAV2_D1203,AMP_COEF,CAV,120.178,1,1,1,0.01,True
LS1_CA03:CAV3_D1209,PHA,CAV,120.8115,-135.8,-101.056,-135.8,0.01,True
LS1_CA03:CAV3_D1209,PHA_CREST,CAV,120.8115,0,0,0,0.01,True
LS1_CA03:CAV3_D1209,AMP,CAV,120.8115,3.00730796922731,0,2,0.01,True
LS1_CA03:CAV3_D1209,AMP_COEF,CAV,120.8115,1,1,1,0.01,True
LS1_CA03:SOL2_D1214,I,SOL,121.2223,38.01,0.007,0,0.01,True
LS1_CA03:DCH_D1214,I,HCOR,121.3788,-0.61594,0,0,0.01,True
LS1_CA03:DCV_D1214,I,VCOR,121.3788,-0.3338,0.001,0,0.01,True
LS1_CA03:CAV4_D1218,PHA,CAV,121.6532,-135,87.36,-135,0.01,True
LS1_CA03:CAV4_D1218,PHA_CREST,CAV,121.6532,0,0,0,0.01,True
LS1_CA03:CAV4_D1218,AMP,CAV,121.6532,3.19,0,2,0.01,True
LS1_CA03:CAV4_D1218,AMP_COEF,CAV,121.6532,1,1,1,0.01,True
LS1_CB01:CAV1_D1229,PHA,CAV,122.7386,37.2,38.135,37.2,0.01,True
LS1_CB01:CAV1_D1229,PHA_CREST,CAV,122.7386,0,0,0,0.01,True
LS1_CB01:CAV1_D1229,AMP,CAV,122.7386,3.06795843034021,0,5.6,0.01,True
LS1_CB01:CAV1_D1229,AMP_COEF,CAV,122.7386,1,1,1,0.01,True
LS1_CB01:SOL1_D1235,I,SOL,123.2662,32.033,0.011,0,0.01,True
LS1_CB01:DCH_D1235,I,HCOR,123.5162,0.04447,-0.001,0,0.01,True
LS1_CB01:DCV_D1235,I,VCOR,123.5162,0.23194,0.001,0,0.01,True
LS1_CB01:CAV2_D1241,PHA,CAV,123.9409,6,74.111,6,0.01,True
LS1_CB01:CAV2_D1241,PHA_CREST,CAV,123.9409,0,0,0,0.01,True
LS1_CB01:CAV2_D1241,AMP,CAV,123.9409,3.37100845817407,0,5.6,0.01,True
LS1_CB01:CAV2_D1241,AMP_COEF,CAV,123.9409,1,1,1,0.01,True
LS1_CB01:CAV3_D1245,PHA,CAV,124.3386,42,0.314,42,0.01,True
LS1_CB01:CAV3_D1245,PHA_CREST,CAV,124.3386,0,0,0,0.01,True
LS1_CB01:CAV3_D1245,AMP,CAV,124.3386,3.27239916281056,0,5.6,0.01,True
LS1_CB01:CAV3_D1245,AMP_COEF,CAV,124.3386,1,1,1,0.01,True
LS1_CB01:CAV4_D1249,PHA,CAV,124.7363,14.6,166.968,14.6,0.01,True
LS1_CB01:CAV4_D1249,PHA_CREST,CAV,124.7363,0,0,0,0.01,True
LS1_CB01:CAV4_D1249,AMP,CAV,124.7363,3.3543847580763,0,5.6,0.01,True
LS1_CB01:CAV4_D1249,AMP_COEF,CAV,124.7363,1,1,1,0.01,True
LS1_CB01:SOL2_D1255,I,SOL,125.2639,35.857,0.006,0,0.01,True
LS1_CB01:DCH_D1255,I,HCOR,125.5139,0.1,-0.001,0,0.01,True
LS1_CB01:DCV_D1255,I,VCOR,125.5139,0.15,0,0,0.01,True
LS1_CB01:CAV5_D1261,PHA,CAV,125.9387,166.6,-171.156,166.6,0.01,True
LS1_CB01:CAV5_D1261,PHA_CREST,CAV,125.9387,0,0,0,0.01,True
LS1_CB01:CAV5_D1261,AMP,CAV,125.9387,3.49210196555379,0,5.6,0.01,True
LS1_CB01:CAV5_D1261,AMP_COEF,CAV,125.9387,1,1,1,0.01,True
LS1_CB01:CAV6_D1265,PHA,CAV,126.3364,-144.3,-131.468,-144.3,0.01,True
LS1_CB01:CAV6_D1265,PHA_CREST,CAV,126.3364,0,0,0,0.01,True
LS1_CB01:CAV6_D1265,AMP,CAV,126.3364,3.31,0,5.6,0.01,True
LS1_CB01:CAV6_D1265,AMP_COEF,CAV,126.3364,1,1,1,0.01,True
LS1_CB01:CAV7_D1269,PHA,CAV,126.734,39.6,126.678,39.6,0.01,True
LS1_CB01:CAV7_D1269,PHA_CREST,CAV,126.734,0,0,0,0.01,True
LS1_CB01:CAV7_D1269,AMP,CAV,126.734,3.35833980074115,0,5.6,0.01,True
LS1_CB01:CAV7_D1269,AMP_COEF,CAV,126.734,1,1,1,0.01,True
LS1_CB01:SOL3_D1275,I,SOL,127.2617,39.07,0.007,0,0.01,True
LS1_CB01:DCH_D1275,I,HCOR,127.5117,0.24,0,0,0.01,True
LS1_CB01:DCV_D1275,I,VCOR,127.5117,0.28,0.001,0,0.01,True
LS1_CB01:CAV8_D1281,PHA,CAV,127.9364,39.8,171.698,39.8,0.01,True
LS1_CB01:CAV8_D1281,PHA_CREST,CAV,127.9364,0,0,0,0.01,True
LS1_CB01:CAV8_D1281,AMP,CAV,127.9364,3.36717824225399,0,5.6,0.01,True
LS1_CB01:CAV8_D1281,AMP_COEF,CAV,127.9364,1,1,1,0.01,True
